iIdBodega,iIdTipoMov,iIdMovimiento,iIdproducto,dCantidad,iIdBodegaSolicita,dCantidadAprobada,StockActual
1,1,31,14,5.0000,6,5.0000,8.00
1,1,32,52,1.0000,6,1.0000,0.00
1,1,33,3,6.0000,6,6.0000,9.00
1,1,33,18,2.0000,6,2.0000,7.00
1,1,33,17,3.0000,6,3.0000,7.00
1,1,34,2,1.0000,6,1.0000,0.00
1,1,35,2,6.0000,6,6.0000,9.00
1,1,35,75,2.0000,6,2.0000,3.00
1,1,35,63,2.0000,6,2.0000,8.00
1,1,35,71,1.0000,6,1.0000,2.00
1,1,39,4,6.0000,6,6.0000,9.00
1,1,39,32,2.0000,6,2.0000,1.00
1,1,39,51,5.0000,6,5.0000,26.00
1,1,40,52,1.0000,6,1.0000,1.00
1,1,40,41,1.0000,6,1.0000,1.00
1,1,6,79,1.0000,5,1.0000,0.00
1,1,42,76,1.0000,6,1.0000,0.00
1,1,42,2,4.0000,6,4.0000,1.00
1,1,43,2,1.0000,6,1.0000,0.00
1,1,45,51,5.0000,6,5.0000,16.00
1,1,45,81,3.0000,6,3.0000,0.00
1,1,45,83,3.0000,6,3.0000,0.00
1,1,45,84,3.0000,6,3.0000,0.00
1,1,45,86,8.0000,6,8.0000,0.00
1,1,45,87,3.0000,6,3.0000,0.00
1,1,45,90,1.0000,6,1.0000,0.00
1,1,45,97,2.0000,6,2.0000,0.00
1,1,45,98,3.0000,6,3.0000,0.00
1,1,45,101,3.0000,6,3.0000,0.00
1,1,45,102,1.0000,6,1.0000,0.00
1,1,45,103,2.0000,6,2.0000,0.00
1,1,46,2,6.0000,6,6.0000,14.00
1,1,46,3,3.0000,6,3.0000,13.00
1,1,47,106,1.0000,6,1.0000,3.00
1,1,49,30,1.0000,6,1.0000,4.00
1,1,49,41,1.0000,6,1.0000,2.00
1,1,50,2,2.0000,6,2.0000,6.00
1,1,50,3,2.0000,6,2.0000,11.00
1,1,50,4,4.0000,6,4.0000,1.00
1,1,52,2,3.0000,6,3.0000,3.00
1,1,52,4,1.0000,6,1.0000,0.00
1,1,53,2,3.0000,6,3.0000,0.00
1,1,53,3,6.0000,6,6.0000,2.00
1,1,53,26,1.0000,6,1.0000,0.00
1,1,55,7,1.0000,6,1.0000,11.00
1,1,8,10,1.0000,5,1.0000,1.00
1,1,56,2,6.0000,6,6.0000,14.00
1,1,59,2,4.0000,6,4.0000,10.00
1,1,59,4,6.0000,6,6.0000,8.00
1,1,59,51,5.0000,6,5.0000,25.00
1,1,60,52,1.0000,6,1.0000,0.00
1,1,61,30,3.0000,6,3.0000,0.00
1,1,63,2,4.0000,6,4.0000,6.00
1,1,64,109,1.0000,6,1.0000,0.00
1,1,65,3,2.0000,6,2.0000,0.00
1,1,65,2,6.0000,6,6.0000,0.00
1,1,65,59,1.0000,6,1.0000,0.00
1,1,67,7,1.0000,6,1.0000,9.00
1,1,68,3,4.0000,6,4.0000,11.00
1,1,68,51,6.0000,6,6.0000,19.00
1,1,1,115,10.0000,4,10.0000,90.00
1,1,70,41,1.0000,6,1.0000,0.00
1,1,70,109,1.0000,6,1.0000,3.00
1,1,70,110,2.0000,6,2.0000,15.00
1,1,71,2,3.0000,6,3.0000,0.00
1,1,73,7,1.0000,6,1.0000,8.00
1,1,74,3,3.0000,6,3.0000,2.00
1,1,77,2,7.0000,6,7.0000,3.00
1,1,80,2,3.0000,6,3.0000,0.00
1,1,4,110,2.0000,3,2.0000,0.00
1,1,114,3,5.0000,6,5.0000,3.00
1,1,81,3,3.0000,6,3.0000,0.00
1,1,6,110,2.0000,3,2.0000,7.00
1,1,82,2,15.0000,6,15.0000,35.00
1,1,83,2,8.0000,6,8.0000,27.00
1,1,84,46,1.0000,6,1.0000,1.00
1,1,85,7,1.0000,6,1.0000,14.00
1,1,8,109,1.0000,3,1.0000,3.00
1,1,86,2,8.0000,6,8.0000,19.00
1,1,9,109,1.0000,3,1.0000,2.00
