iiddocument,taxidemisor,tipo_doc,Talonario,NumFactura,documentno,tosend,fecha_emision,taxidreceptor
582,9.10436E+11,1,1130705549,32772,001-002-000000110,N,NULL,NULL
583,9.10436E+11,1,1130705549,32773,001-002-000000111,N,NULL,NULL
584,9.10436E+11,1,1130705549,32773,001-002-000000111,N,NULL,NULL
585,9.10436E+11,1,1130705549,32773,001-002-000000111,N,NULL,NULL
586,9.09807E+11,1,1130503926,34280,001-002-000000129,N,NULL,NULL
587,9.10436E+11,1,1130705549,32774,001-002-000000112,N,NULL,NULL
588,9.10436E+11,1,1130705549,32774,001-002-000000112,N,NULL,NULL
589,9.10436E+11,1,1130705549,32774,001-002-000000112,N,NULL,NULL
590,9.10436E+11,1,1130705549,32775,001-002-000000113,N,NULL,NULL
591,9.10436E+11,1,1130705549,32775,001-002-000000113,N,NULL,NULL
592,9.10436E+11,1,1130705549,32775,001-002-000000113,N,NULL,NULL
593,9.10436E+11,1,1130705549,32776,001-002-000000114,N,NULL,NULL
594,9.10436E+11,1,1130705549,32776,001-002-000000114,N,NULL,NULL
595,9.10436E+11,1,1130705549,32776,001-002-000000114,N,NULL,NULL
596,9.10436E+11,1,1130705549,32777,001-002-000000115,N,NULL,NULL
597,9.10436E+11,1,1130705549,32777,001-002-000000115,N,NULL,NULL
598,9.10436E+11,1,1130705549,32777,001-002-000000115,N,NULL,NULL
599,9.10436E+11,1,1130705549,32778,001-002-000000116,N,NULL,NULL
600,9.10436E+11,1,1130705549,32778,001-002-000000116,N,NULL,NULL
601,9.10436E+11,1,1130705549,32778,001-002-000000116,N,NULL,NULL
602,9.10436E+11,1,1130705549,32779,001-002-000000117,N,NULL,NULL
603,9.10436E+11,1,1130705549,32779,001-002-000000117,N,NULL,NULL
604,9.10436E+11,1,1130705549,32779,001-002-000000117,N,NULL,NULL
605,9.10436E+11,1,1130705549,32780,001-002-000000118,N,NULL,NULL
606,9.10436E+11,1,1130705549,32780,001-002-000000118,N,NULL,NULL
607,9.10436E+11,1,1130705549,32780,001-002-000000118,N,NULL,NULL
608,9.09807E+11,1,1130503926,34281,001-002-000000130,N,NULL,NULL
609,9.10436E+11,1,1130705549,32781,001-002-000000119,N,NULL,NULL
610,9.10436E+11,1,1130705549,32781,001-002-000000119,N,NULL,NULL
611,9.10436E+11,1,1130705549,32781,001-002-000000119,N,NULL,NULL
612,9.10436E+11,1,1130705549,32782,001-002-000000120,N,NULL,NULL
613,9.10436E+11,1,1130705549,32782,001-002-000000120,N,NULL,NULL
614,9.10436E+11,1,1130705549,32782,001-002-000000120,N,NULL,NULL
615,9.10436E+11,1,1130705549,32783,001-002-000000121,N,NULL,NULL
616,9.10436E+11,1,1130705549,32783,001-002-000000121,N,NULL,NULL
617,9.10436E+11,1,1130705549,32783,001-002-000000121,N,NULL,NULL
618,9.09807E+11,1,1130503926,34282,001-002-000000131,N,NULL,NULL
619,9.09807E+11,1,1130503926,34283,001-002-000000132,N,NULL,NULL
620,9.09807E+11,1,1130503926,34284,001-002-000000133,N,NULL,NULL
621,9.10436E+11,1,1130705549,32784,001-002-000000122,N,NULL,NULL
622,9.10436E+11,1,1130705549,32784,001-002-000000122,N,NULL,NULL
623,9.10436E+11,1,1130705549,32784,001-002-000000122,N,NULL,NULL
624,9.09807E+11,1,1130503926,34285,001-002-000000134,N,NULL,NULL
625,9.10436E+11,1,1130705549,32785,001-002-000000123,N,NULL,NULL
626,9.10436E+11,1,1130705549,32785,001-002-000000123,N,NULL,NULL
627,9.10436E+11,1,1130705549,32785,001-002-000000123,N,NULL,NULL
628,9.10436E+11,1,1130705549,32786,001-002-000000124,N,NULL,NULL
629,9.10436E+11,1,1130705549,32786,001-002-000000124,N,NULL,NULL
630,9.10436E+11,1,1130705549,32786,001-002-000000124,N,NULL,NULL
